alpha_name,is_ic_mean,is_ic_std,is_ic_ir,is_ic_positive_rate,oos_ic_mean,oos_ic_std,oos_ic_ir,oos_ic_positive_rate,is_total_return,is_annualized_return,is_annualized_volatility,is_sharpe,is_sortino,is_calmar,is_max_drawdown,is_win_rate,is_observations,oos_total_return,oos_annualized_return,oos_annualized_volatility,oos_sharpe,oos_sortino,oos_calmar,oos_max_drawdown,oos_win_rate,oos_observations,is_oos_ic_same_sign,consistency_score,robustness_score
alpha_wq_001_reversal_rank,-0.010357517581717676,0.2306155434049117,-0.04491248694166327,0.48210526315789476,0.004482075140913375,0.23435370368216535,0.019125258404245424,0.5123762376237624,-0.12450834399576627,-0.03447522527094654,0.039853010734282567,-0.8650594932665924,-1.3219538581492518,-0.20143449935901223,-0.17114856382918853,0.48105263157894734,950.0,0.012666949585240506,0.008948207306750049,0.046837767199257745,0.1910468376659051,0.3057805147999005,0.08175409709131212,-0.10945270787781669,0.4876237623762376,404.0,False,0.17309457041423915,0.6546104920414184
alpha_wq_002_volume_price_divergence,0.0028895355275428514,0.1563708871536746,0.018478730792792268,0.510548523206751,0.023455748636088097,0.14696410907582347,0.1596018836407638,0.5668316831683168,-0.11675190056537033,-0.03258454282724369,0.028806477510007148,-1.131153325356218,-1.696264852770182,-0.22652736748983093,-0.14384373591727917,0.4883966244725738,948.0,0.055282204261452694,0.034001373493236606,0.029516995782621715,1.1519252753105413,1.790412674612941,0.6573111195588153,-0.05172797550733388,0.5346534653465347,404.0,True,1.0,0.9896544048985333
alpha_wq_003_intraday_range_position,0.0073560940978535565,0.24176865177716234,0.030426169992599592,0.506806282722513,0.004891295491279316,0.2239133422762005,0.02184459149042503,0.5074257425742574,-0.06423943117785447,-0.016590615753550333,0.04310658434290669,-0.3848742832782659,-0.6112585810919896,-0.15170434517751155,-0.10936150664727107,0.45340314136125653,955.0,-0.030047812568810395,-0.01817262604318751,0.041398678194594356,-0.4389663350546396,-0.7117110729193199,-0.2566982005508095,-0.07079374146056983,0.4900990099009901,404.0,True,0.8659724264651021,0.6732196176695862
alpha_trend_021_medium_momentum,0.0036229999556853638,0.26682563824979333,0.013578155305651818,0.5166130760986066,-0.010744342291371991,0.254131389768395,-0.042278690173472654,0.49257425742574257,0.09178238504489622,0.024910720981183195,0.048832623794129434,0.510124565212855,0.8132678887198449,0.22141090225802929,-0.11250900803499086,0.5091103965702036,933.0,-0.10176610581520362,-0.06585913273566477,0.046416280505938795,-1.418880014033833,-2.341381957012592,-0.4068065937848306,-0.1618929824193046,0.4801980198019802,404.0,False,0.4,0.7367361642100297
alpha_risk_020_low_volatility,-0.01909922896958838,0.3067874891858835,-0.06225556661476537,0.4678800856531049,-0.06275106082036774,0.23545849979368047,-0.26650582109099097,0.38613861386138615,-0.3013615312991308,-0.09527231759035182,0.05418152380934179,-1.7583912539190214,-2.8196932152751737,-0.27650298195408013,-0.34456162793272893,0.4475374732334047,934.0,-0.28002434762216266,-0.20358111105494256,0.05028323038469281,-4.04868799194963,-5.854373979315275,-0.7018749585889636,-0.2900532474676376,0.37376237623762376,404.0,True,1.0,0.9419893505064725
alpha_liquidity_020_volume_shock,0.00736805572737057,0.17798080305735936,0.0413980361971735,0.5112299465240642,0.006258587593453221,0.17052864023790382,0.03670109363871014,0.504950495049505,0.02495443207758874,0.007163166568851393,0.032246409317993135,0.22213842472235898,0.33575749690717427,0.061807726713605377,-0.11589435414835614,0.5058823529411764,935.0,-0.06363967816003391,-0.040396268250198895,0.035085324932426845,-1.1513722141094815,-1.6347324799158924,-0.5591367858831444,-0.07224755957774065,0.4801980198019802,404.0,True,0.9397687436159887,0.7323548626392924
alpha_wq_007_price_to_ma_reversion,-0.0053233308467176554,0.2712212430849674,-0.01962726365445489,0.47098214285714285,-0.006478328955344515,0.263107585832731,-0.024622357180773467,0.46534653465346537,-0.14659059902150062,-0.04336826182502272,0.04920048044218504,-0.8814601287478138,-1.3875634767003626,-0.15547225378086613,-0.27894534729102916,0.484375,896.0,0.022404942676610196,0.015088755114224764,0.05033877135283325,0.2997442072724628,0.46774168225245405,0.18364116090378646,-0.08216434180641063,0.4801980198019802,404.0,True,1.0,0.6820565603618117
alpha_wq_008_overnight_gap,-0.02358096645049051,0.31434987947009374,-0.0750150325816617,0.4743455497382199,-0.029573251626338885,0.28225892536808983,-0.10477348621579577,0.44801980198019803,-0.13036239248015524,-0.035051810693911126,0.060066166404015624,-0.5835533178219909,-0.9899517799157466,-0.08634409264105357,-0.40595493706358354,0.47853403141361256,955.0,-0.15182937277317876,-0.1012815562334007,0.053161083173765736,-1.9051823286283556,-2.6821185864359975,-0.5913070598068776,-0.1712841992221089,0.46534653465346537,404.0,True,1.0,0.9657431601555783
alpha_wq_009_volume_weighted_return,0.010481416205356614,0.2593102134803155,0.040420375521198926,0.5431578947368421,-0.026782178217821778,0.2477816513219644,-0.10808781875063601,0.4430693069306931,0.17086280743925264,0.04296735569463644,0.047354400842749535,0.9073571818027806,1.4199956933530222,0.42822850508794563,-0.10033744877822226,0.5368421052631579,950.0,-0.12487829223344715,-0.08202924252638794,0.04822410036010264,-1.7010009914929047,-2.9004565096936936,-0.4840890206761329,-0.16945073947724887,0.4158415841584158,404.0,False,0.4,0.9661098521045502
alpha_wq_010_gap_quality,-0.00811390256745651,0.145560046314588,-0.05574264898157934,0.4797008547008547,0.017192669165839957,0.14992226717947962,0.11467722233187504,0.5321782178217822,0.04285317435727265,0.011539434526538835,0.022009453712337437,0.5242944544357493,0.8544029531972351,0.0947334907092032,-0.12180945133712673,0.5064102564102564,936.0,0.11923923382492929,0.07057543127694837,0.024470069785770612,2.8841532490433726,5.236364402989025,2.7478996038062546,-0.025683409677409896,0.5717821782178217,404.0,False,0.4,0.9948633180645181
alpha_gat_composite,0.10529298694832998,0.2896032202155468,0.36357671323530927,0.6575916230366492,0.006620529399878764,0.2661433079941834,0.024875806383316827,0.48514851485148514,1.463171507435626,0.2393492254314349,0.05231226026512082,4.575394452818566,7.215422289926647,3.2888384067635905,-0.07277621939077528,0.6408376963350786,955.0,0.12381113512156272,0.0741744508861374,0.05209295995640147,1.4238862784571418,2.5708660247178496,0.975299196194146,-0.07605302165282624,0.5099009900990099,404.0,True,0.6251508845622458,0.6842926212027021
